,ratio,rndint,#trees,mape,r2
93,0.05,16.0,500.0,0.015405611332049398,0.9928410230400199
94,0.05,16.0,750.0,0.015370251843229361,0.9929387806201314
95,0.05,16.0,1000.0,0.015370844220548968,0.9929266201736843
96,0.05,669.0,10.0,0.012474298813029472,0.9952345538275532
97,0.05,669.0,100.0,0.012512376990844069,0.9949840577361265
98,0.05,669.0,250.0,0.012510147706796431,0.995137318024715
99,0.05,669.0,500.0,0.012283648106494962,0.9952866769608099
100,0.05,669.0,750.0,0.01221832030208615,0.9953352268111446
101,0.05,669.0,1000.0,0.012230808502903364,0.9953790511769024
102,0.05,530.0,10.0,0.014836958848411779,0.9947325576171271
103,0.05,530.0,100.0,0.013011874317719644,0.9962566336340376
104,0.05,530.0,250.0,0.012623046708524573,0.9964949863177056
105,0.05,530.0,500.0,0.012608686216552404,0.996535462466728
106,0.05,530.0,750.0,0.012653341501814122,0.996507982172194
107,0.05,530.0,1000.0,0.012575382819224396,0.9965529904560018
108,0.05,999.0,10.0,0.01749176256030195,0.9918312657564071
109,0.05,999.0,100.0,0.015943132672356527,0.9935523304096571
110,0.05,999.0,250.0,0.01592865746264769,0.9935744354745483
111,0.05,999.0,500.0,0.015844737400981242,0.9936332001878555
112,0.05,999.0,750.0,0.01590962639359835,0.9936432496731482
113,0.05,999.0,1000.0,0.01582617443856815,0.9936982491701887
114,0.05,794.0,10.0,0.01681136094911077,0.9933630386367105
115,0.05,794.0,100.0,0.015831145485118176,0.9937338222275749
116,0.05,794.0,250.0,0.015851307977491975,0.9937663242477536
117,0.05,794.0,500.0,0.015832568471990657,0.9937436793774126
118,0.05,794.0,750.0,0.01587937487206885,0.9937203765054701
119,0.05,794.0,1000.0,0.015835367170735713,0.9937323270031749
120,0.05,936.0,10.0,0.013253114099164607,0.9947231307333929
121,0.05,936.0,100.0,0.011368110565935735,0.9964435718709983
122,0.05,936.0,250.0,0.011347614188001674,0.996169209872934
123,0.05,936.0,500.0,0.011635804475548562,0.9960252242549643
124,0.05,936.0,750.0,0.011598769529311721,0.9960025314211766
125,0.05,936.0,1000.0,0.011582310098203603,0.996028476510559
126,0.05,111.0,10.0,0.014691523435852451,0.9931658667904915
127,0.05,111.0,100.0,0.012660203253181138,0.9946382963241415
128,0.05,111.0,250.0,0.01243245804903374,0.9947376261137337
129,0.05,111.0,500.0,0.012387467369234384,0.9947029964966352
130,0.05,111.0,750.0,0.01236211031365552,0.9947815449177263
131,0.05,111.0,1000.0,0.012403353283010541,0.994782332774394
132,0.05,816.0,10.0,0.016740992191933243,0.9891777010482932
133,0.05,816.0,100.0,0.016392609939247856,0.9905977219276451
134,0.05,816.0,250.0,0.015885456905532957,0.9910999604360162
135,0.05,816.0,500.0,0.015721774369219177,0.9911954339371069
136,0.05,816.0,750.0,0.015669018005398237,0.9912789596314967
137,0.05,816.0,1000.0,0.01568832488693665,0.9913402810087832
138,0.05,968.0,10.0,0.014325175377038386,0.9940558766329944
139,0.05,968.0,100.0,0.013874474502975057,0.9943143968419661
140,0.05,968.0,250.0,0.013989441766913007,0.9943980215216752
141,0.05,968.0,500.0,0.013966781182654113,0.994419141621425
142,0.05,968.0,750.0,0.01399487185577711,0.9943557995899364
143,0.05,968.0,1000.0,0.013964919408674248,0.9943232147538198
144,0.05,48.0,10.0,0.014970507152346208,0.9923178168378389
145,0.05,48.0,100.0,0.013557334879013271,0.9935498738269514
146,0.05,48.0,250.0,0.013636385418751498,0.9935936657711499
147,0.05,48.0,500.0,0.013685890067062206,0.9935151595186742
148,0.05,48.0,750.0,0.013718493014544919,0.9934528979981123
149,0.05,48.0,1000.0,0.013695405173075966,0.99347999070175
150,0.05,986.0,10.0,0.015933990110579888,0.9927176774145484
151,0.05,986.0,100.0,0.016320047216997355,0.9934060257778591
152,0.05,986.0,250.0,0.016419633144549466,0.9932037513940443
153,0.05,986.0,500.0,0.016286319903180742,0.9931832125600109
154,0.05,986.0,750.0,0.016173273438296925,0.9932347549454879
155,0.05,986.0,1000.0,0.016205415717037982,0.99321215697822
156,0.05,829.0,10.0,0.01314966481799356,0.9944608945609787
157,0.05,829.0,100.0,0.013698698992371777,0.9943450278557273
158,0.05,829.0,250.0,0.013435070255626418,0.9945699462860351
159,0.05,829.0,500.0,0.013485049307029878,0.9943934706714441
160,0.05,829.0,750.0,0.013336348023193665,0.9944072898224948
161,0.05,829.0,1000.0,0.013300436460978986,0.9944580008069256
162,0.05,996.0,10.0,0.018942659978094405,0.9897271175265283
163,0.05,996.0,100.0,0.01716402843309527,0.9907328495417376
164,0.05,996.0,250.0,0.017173250378978114,0.9908034093158052
165,0.05,996.0,500.0,0.017255814049140342,0.9907235954076554
166,0.05,996.0,750.0,0.01702059562554615,0.9909156103872586
167,0.05,996.0,1000.0,0.01694073963130938,0.9908966409175005
168,0.05,272.0,10.0,0.012807874071613117,0.9927954718901623
169,0.05,272.0,100.0,0.01202884288978111,0.9934692759373203
170,0.05,272.0,250.0,0.012070237812093404,0.9934961299391329
171,0.05,272.0,500.0,0.012101094932026156,0.9934497845970677
172,0.05,272.0,750.0,0.012084797305037734,0.9933682946037128
173,0.05,272.0,1000.0,0.012093837313182886,0.9933248900699674
174,0.05,759.0,10.0,0.013106218424001096,0.9947233188366974
