,SigC800,SigBr730,EpsC800,EpsBr730,RCE1,RCE2,RCE3,RCE4,RCE5,RCE6,RCE7,RCE8,RCE9,AvgMAPE
2999,0.27759,0.54038,0.02986,1.47217,7.501601338432122,0.3097992351816441,-26.52566921606119,0.0,-5.97151051625239,-5.578585086042065,-28.095219885277245,7.165487571701721,-26.78666347992352,19.39671790275786
3000,0.24009,0.35288,0.58111,1.84717,0.8859942638623312,0.0740917782026774,-0.819072657743784,0.0,-1.2392447418738055,-1.2464149139579357,-1.7946940726577405,0.9794455066921637,-0.8360420650095579,2.7125153514740648
3001,0.54009,0.65288,0.09111,2.84717,41.620458891013406,2.567399617590813,-178.12523900573615,0.0,-44.6986137667304,-41.902963671128106,-190.3427342256214,38.68307839388143,-179.4753824091778,132.03792962954512
3002,0.69009,0.20288,0.82611,1.34717,-141.8128585086042,15.126673040152955,-27.73183556405353,0.0,-214.90726577437857,-224.04541108986615,-191.05305927342258,-135.9655831739962,-21.969407265774397,296.0643142267265
3003,0.39009,0.50288,0.33611,2.34717,4.468929254302103,0.3411806883365188,-18.263934034416828,0.0,-5.504134799235183,-5.282098470363289,-20.54404875717017,4.301195028680689,-18.40996653919694,15.205857193706379
3004,0.31509,0.27788,0.21361,2.09717,0.5865200764818306,0.08269598470362696,-0.28943594646271814,0.0,-1.4115678776290645,-1.4404875717017245,-1.4187380497131947,0.698613766730402,-0.2951720841300224,2.7316736546464644
3005,0.61509,0.57788,0.70361,1.09717,-35.807122370936916,5.561902485659646,-45.75215105162524,0.0,-81.70339388145317,-84.09010516252391,-105.41324091778203,-34.27748565965584,-44.29110898661568,125.95852479258062
3006,0.46509,0.42788,0.45861,2.59717,-2.353967495219883,0.596319311663481,-5.429493307839384,0.0,-8.07767686424474,-8.279158699808791,-11.33699808795411,-2.1510516252390057,-5.314053537284897,13.510375762399356
3007,0.16509,0.72788,0.94861,1.59717,102.95172084130024,5.8508604206501,-374.50956022944547,0.0,-71.00382409177818,-64.17304015296367,-383.23374760994255,94.69885277246654,-377.51959847036323,249.83602198181254
3008,0.16040,0.36694,0.48158,2.86279,1.031309751434034,0.07695984703632952,-1.2296845124283007,0.0,-1.264101338432126,-1.2590822179732315,-2.230162523900571,1.1137667304015288,-1.2528680688336495,2.908371897888456
3009,0.46040,0.66694,0.97158,1.86279,40.73828871892927,2.44980879541109,-173.31644359464627,0.0,-42.981118546845146,-40.277007648183556,-184.6369502868069,37.90129063097513,-174.65989483747612,127.84972439220574
3010,0.61040,0.21694,0.23658,2.36279,-25.726123326959843,3.0253346080305965,-4.341300191204589,0.0,-41.676123326959846,-43.44297323135755,-37.29361854684512,-24.43109464627151,-3.274617590822178,57.619181620606255
3011,0.31040,0.51694,0.72658,1.36279,5.039818355640536,0.25552103250477815,-17.6637189292543,0.0,-4.4352294455066925,-4.182839388145316,-19.120697896749522,4.85406309751434,-17.83221797323136,13.654602649402996
3012,0.38540,0.29194,0.84908,1.11279,-0.5987093690248555,0.2220363288718934,-0.6142447418738033,0.0,-3.0939292543021013,-3.1950286806883352,-2.990678776290632,-0.43714149139579533,-0.5731357552581252,5.081141330799437
3013,0.68540,0.59194,0.35908,2.11279,-64.42590822179731,9.679732313575526,-77.65152963671127,0.0,-142.53322179732314,-146.9086998087954,-181.16515296367112,-61.779636711281064,-75.04995219885278,218.43615005659038
3014,0.53540,0.44194,0.60408,1.61279,-12.854634560229446,1.7753104684512429,-7.387736854684512,0.0,-24.22915654875717,-25.115150812619504,-25.93541849904398,-12.187426147227532,-6.845289435946462,35.62741268016485
3015,0.23540,0.74194,0.11408,2.61279,172.31835564053526,12.229923518164345,-634.9122848948374,0.0,6363.692638623327,16191.656309751434,-648.9228011472276,157.23709369024849,-639.8484703632887,12337.784523053657
3016,0.27290,0.17944,0.54283,2.23779,0.6818833652007669,0.07337476099426778,-0.419455066921605,0.0,-1.3781070745697874,-1.404875717017205,-1.4548279158699782,0.791586998087957,-0.42805927342256134,2.7238174344604165
3017,0.57290,0.47944,0.05283,1.23779,-4.713264818355641,1.0060468451242828,-10.12024378585086,0.0,-14.242280114722753,-14.617758126195028,-20.344813575525816,-4.425047801147228,-9.89663001912046,23.406327660525292
3018,0.72290,0.32944,0.78783,2.73779,-234.5004780114723,23.802581261950213,-46.73040152963671,0.0,-329.6003824091779,-345.8013862332696,-286.3862332695985,-225.58078393881456,-36.43642447418745,455.7059125691894
3019,0.42290,0.62944,0.29783,1.73779,25.132648183556412,1.102533460803059,-101.7088981835564,0.0,-23.686663479923507,-22.33078393881452,-106.79330783938813,23.64435946462716,-102.61565248565965,73.48979248749258
3020,0.34790,0.40444,0.17533,1.98779,1.0987093690248586,0.12284894837476339,-2.638384321223706,0.0,-1.8635277246653912,-1.8525334608030535,-3.928059273422556,1.1689770554493355,-2.663001912045888,4.227391249769285
3021,0.64790,0.70444,0.66533,2.98779,43.104684512428385,15.313097514340383,-403.72609942638616,0.0,-181.07313575525805,-179.25669216061178,-498.39173040152957,38.01625239005745,-404.0893881453154,397.0560049604128
3022,0.49790,0.25444,0.42033,1.48779,-6.312380497131931,0.8563575525812649,-1.478011472275334,0.0,-11.702437858508603,-12.17184512428298,-10.61161567877629,-5.900573613766728,-1.2055449330783932,16.805364765845482
3023,0.19790,0.55444,0.91033,2.48779,11.562715105162523,0.4323135755258121,-42.23938814531549,0.0,-8.871008604206502,-8.258365200764818,-44.041969407265775,10.974330783938814,-42.65310707456979,29.760120772734897
