,SigC800,SigBr730,EpsC800,EpsBr730,RCE1,RCE2,RCE3,AvgMAPE
1138,0.64307,0.43682,0.18083,2.61426,0.0,-3.1903441682600375,-0.7556166347992344,2.5667192829434957
1139,0.34307,0.73682,0.67083,1.61426,0.0,-73.62571701720834,-360.1696940726577,191.1017605017765
1140,0.41807,0.36182,0.79333,1.86426,0.0,1.1479445506692154,0.7545411089866114,0.24467184475464954
1141,0.71807,0.66182,0.30333,2.86426,0.0,-42.638623326959866,-157.11759082217975,88.94059653349082
1142,0.56807,0.21182,0.54833,1.36426,0.0,-0.7925430210325054,2.7545411089866167,1.5698427586524044
1143,0.26807,0.51182,0.05833,2.36426,0.0,-1.772657743785853,-15.484321223709372,8.165469203446456
1144,0.23057,0.39932,0.60958,2.98926,0.0,1.05568833652007,-0.8914913957935033,0.9030804570461868
1145,0.53057,0.69932,0.11958,1.98926,0.0,-45.52820267686425,-226.4428776290631,120.0192200351729
1146,0.68057,0.24932,0.85458,2.48926,0.0,-10.458413001912055,9.53919694072657,9.249139766246472
1147,0.38057,0.54932,0.36458,1.48926,0.0,-3.1807361376673047,-22.70193594646271,11.948404894095804
1148,0.30557,0.17432,0.24208,1.23926,0.0,1.5442160611854647,1.2117590822179716,0.6148543654280249
1149,0.60557,0.47432,0.73208,2.23926,0.0,-4.645320267686424,-4.157856118546845,4.740999965963997
1150,0.45557,0.32432,0.48708,1.73926,0.0,1.1245219885277276,1.323852772466536,0.4553566961041547
1151,0.15557,0.62432,0.97708,2.73926,0.0,-15.991156787762888,-90.48374760994263,47.27040956509057
1152,0.15791,0.27510,0.23060,1.60645,0.0,1.5458891013384295,1.263145315487571,0.6376591680382105
1153,0.45791,0.57510,0.72060,2.60645,0.0,-7.622370936902485,-43.84710803059273,23.187533791392383
1154,0.60791,0.42510,0.47560,1.10645,0.0,-2.7284894837476106,1.3318594646271504,1.9182328852590356
1155,0.30791,0.72510,0.96560,2.10645,0.0,-72.77007648183552,-356.07552581261945,188.9277726961881
1156,0.38291,0.35010,0.59810,2.35645,0.0,1.3102294455066918,0.8214627151051653,0.332273315680264
1157,0.68291,0.65010,0.10810,1.35645,0.0,-20.81118546845123,-84.57385277246652,47.12512090647562
1158,0.53291,0.20010,0.84310,2.85645,0.0,-0.16347992351816384,2.409894837476099,1.1115137476361172
1159,0.23291,0.50010,0.35310,1.85645,0.0,-0.9020076481835566,-11.002868068833651,5.8184210576095765
1160,0.27041,0.38760,0.78185,1.48145,0.0,1.2729445506692145,0.08030592734225246,0.5948251704299307
1161,0.57041,0.68760,0.29185,2.48145,0.0,-44.70363288718928,-215.66467495219882,115.00182979489016
1162,0.72041,0.23760,0.53685,1.98145,0.0,-14.652007648183549,13.407504780114731,12.976361165376597
1163,0.42041,0.53760,0.04685,2.98145,0.0,-3.985939292543021,-26.80088432122371,14.0995077193654
1164,0.34541,0.16260,0.41435,2.73145,0.0,1.5215105162523934,1.2588432122370927,0.6237696773033932
1165,0.64541,0.46260,0.90435,1.73145,0.0,-7.647705544933076,0.6668260038240899,4.161458882371109
1166,0.49541,0.31260,0.16935,2.23145,0.0,1.0769598470363289,1.4457456978967511,0.48398196173059516
1167,0.19541,0.61260,0.65935,1.23145,0.0,-8.513862332695988,-52.06833173996176,27.144381865368626
1168,0.21416,0.33135,0.26122,2.79395,0.0,1.461281070745692,0.9945028680688272,0.4809420778645705
1169,0.51416,0.63135,0.75122,1.79395,0.0,-15.239005736137665,-79.03800191204587,42.00330541531578
1170,0.66416,0.18135,0.01622,2.29395,0.0,-0.005497131931172217,2.263384321223709,0.9707658702932337
1171,0.36416,0.48135,0.50622,1.29395,0.0,-0.01935946462714839,-6.148183556405351,3.3058117308948543
1172,0.43916,0.25635,0.87372,1.04395,0.0,1.185229445506693,1.4890057361376716,0.5559981454887414
1173,0.73916,0.55635,0.38372,2.04395,0.0,-21.59823135755257,-14.118068833651991,17.38021143393175
1174,0.58916,0.40635,0.62872,1.54395,0.0,-2.2143403441682583,1.574378585086041,1.7678322976376102
1175,0.28916,0.70635,0.13872,2.54395,0.0,-60.057361376673086,-297.112810707457,157.42598554906328
1176,0.25166,0.21885,0.68997,2.16895,0.0,1.5576003824091769,1.2851338432122392,0.6528521319278612
1177,0.55166,0.51885,0.19997,1.16895,0.0,-2.2000956022944527,-11.194383365200764,6.541931593449611
1178,0.70166,0.36885,0.93497,2.66895,0.0,-15.777007648183549,13.445984703632895,13.548867190764028
1179,0.40166,0.66885,0.44497,1.66895,0.0,-24.14507648183557,-129.85301147227534,68.13882998238073
1180,0.32666,0.44385,0.07747,1.91895,0.0,0.5901051625238991,-3.2404397705544983,1.760933481112221
1181,0.62666,0.74385,0.56747,2.91895,0.0,-135.6285850860421,-627.684034416826,336.1634179802907
1182,0.47666,0.29385,0.32247,1.41895,0.0,1.1008604206500943,1.5078871892925423,0.5223730779562873
1183,0.17666,0.59385,0.81247,2.41895,0.0,-9.289196940726587,-55.83049713193117,29.136679726147324
1184,0.18604,0.41572,0.55216,2.51270,0.0,0.9163479923518172,-1.613766730401532,1.1431263509741207
1185,0.48604,0.71572,0.06216,1.51270,0.0,-49.263862332696014,-246.39483747609947,130.39907356378532
1186,0.63604,0.26572,0.79716,2.01270,0.0,-5.181190248565966,5.466037284894836,4.898703810889355
1187,0.33604,0.56572,0.30716,1.01270,0.0,-3.3619455066921606,-24.12234225621415,12.64547772512226
1188,0.41104,0.19072,0.18466,1.26270,0.0,1.4560229445506654,1.2868068833651973,0.6033615140637671
1189,0.71104,0.49072,0.67466,2.26270,0.0,-16.79397705544932,3.0262906309751516,9.595019428314302
1190,0.56104,0.34072,0.42966,1.76270,0.0,-0.43236137667303953,2.1527246653919705,1.1344208411405245
