,ratio,rndint,#trees,mape,r2
61,0.05,721.0,100.0,0.016673340957130703,0.9938129946990778
62,0.05,721.0,250.0,0.016433012473675204,0.9942821015537987
63,0.05,721.0,500.0,0.01667722776642159,0.9942319070840573
64,0.05,721.0,750.0,0.01663932423299841,0.9942540952179643
65,0.05,721.0,1000.0,0.016638494336386284,0.9942619508158678
66,0.05,711.0,10.0,0.019493492913582936,0.9833038296426
67,0.05,711.0,100.0,0.01651778100944781,0.9869039424011861
68,0.05,711.0,250.0,0.016383544185889144,0.9872517858178287
69,0.05,711.0,500.0,0.016430751564274343,0.9872978076305496
70,0.05,711.0,750.0,0.01656661216501536,0.9872155350346243
71,0.05,711.0,1000.0,0.01650188143455142,0.987287466930423
72,0.05,985.0,10.0,0.013949476600326582,0.993083580529375
73,0.05,985.0,100.0,0.013574334292348389,0.9942705554516368
74,0.05,985.0,250.0,0.01335984074550273,0.9942681016488889
75,0.05,985.0,500.0,0.01327573467644837,0.9943725006688617
76,0.05,985.0,750.0,0.013202116943144106,0.9944290739130179
77,0.05,985.0,1000.0,0.013171698899367373,0.9944584618886644
78,0.05,171.0,10.0,0.013607308664147198,0.9961172280909729
79,0.05,171.0,100.0,0.01583533357108234,0.9943956919757274
80,0.05,171.0,250.0,0.01573520642005384,0.9943225731016349
81,0.05,171.0,500.0,0.01589644200611585,0.9941410314939559
82,0.05,171.0,750.0,0.015801675895267257,0.9941242492063984
83,0.05,171.0,1000.0,0.015712701660632256,0.9942190518504584
84,0.05,75.0,10.0,0.015253023788667169,0.9924020976892678
85,0.05,75.0,100.0,0.01494306863481768,0.9926208909638099
86,0.05,75.0,250.0,0.01499095767512751,0.9927019609516922
87,0.05,75.0,500.0,0.014871177703958504,0.9928138273338057
88,0.05,75.0,750.0,0.014949949740701296,0.9927324656589885
89,0.05,75.0,1000.0,0.014900180088168546,0.9927260342516426
90,0.05,16.0,10.0,0.01649594512221435,0.9944791133656756
91,0.05,16.0,100.0,0.015352045470546952,0.9954128981862967
92,0.05,16.0,250.0,0.015219883910239724,0.9955001382679353
93,0.05,16.0,500.0,0.01507442195027348,0.995555476468004
94,0.05,16.0,750.0,0.014972815045957167,0.9955709164577924
95,0.05,16.0,1000.0,0.014956652181405676,0.9955585674681641
96,0.05,669.0,10.0,0.015277645921217805,0.992432220841792
97,0.05,669.0,100.0,0.015079498682708595,0.9930567331714354
98,0.05,669.0,250.0,0.015251108802758175,0.9929814010695824
99,0.05,669.0,500.0,0.015081324171513916,0.9932656092476289
100,0.05,669.0,750.0,0.015116226341283807,0.9932728324398916
101,0.05,669.0,1000.0,0.015102920959302516,0.9932480587182059
102,0.05,530.0,10.0,0.011796956332069699,0.9967077249101872
103,0.05,530.0,100.0,0.01113140536640773,0.99724768363662
104,0.05,530.0,250.0,0.010870715538291446,0.9973705638179519
105,0.05,530.0,500.0,0.011057282988267903,0.9972210610660319
106,0.05,530.0,750.0,0.011098129519067274,0.9971840107710603
107,0.05,530.0,1000.0,0.011129842492465321,0.9971644745871223
108,0.05,999.0,10.0,0.017148297688683745,0.9939539414905751
109,0.05,999.0,100.0,0.014173860138568802,0.9958583251230941
110,0.05,999.0,250.0,0.014548289662047652,0.9957041081704773
111,0.05,999.0,500.0,0.014770616783191632,0.9956505475000055
112,0.05,999.0,750.0,0.014744147722691683,0.9956720573972321
113,0.05,999.0,1000.0,0.01470403621104363,0.9956690164231227
