,ratio,rndint,kernel,length_scale,nu,alpha,periodicity,mape,r2
100,0.05,986.0,RBF,1.0,-,-,-,1.0,-15.285993474938692
101,0.05,986.0,Matern,1.0,1.5,-,-,0.0165118036430885,0.9932337663642932
102,0.05,986.0,RQ,1.0,-,1.0,-,0.0231549345067807,0.989063384013225
103,0.05,986.0,ESS,1.0,-,-,1.0,0.0298002892085828,0.9788855284956176
104,0.05,829.0,RBF,1.0,-,-,-,0.0276972451989754,0.971234697087345
105,0.05,829.0,Matern,1.0,1.5,-,-,0.0200863646083609,0.985993821162312
106,0.05,829.0,RQ,1.0,-,1.0,-,0.0268770888487597,0.9781255346628844
107,0.05,829.0,ESS,1.0,-,-,1.0,0.0276972074746985,0.9712347786142578
108,0.05,996.0,RBF,1.0,-,-,-,0.0326193799251197,0.937718706837841
109,0.05,996.0,Matern,1.0,1.5,-,-,0.0220713113003825,0.9802882760053044
110,0.05,996.0,RQ,1.0,-,1.0,-,0.0344256042162327,0.970888048070998
111,0.05,996.0,ESS,1.0,-,-,1.0,0.9967104968339594,-14.726140582913125
112,0.05,272.0,RBF,1.0,-,-,-,0.0274015213401038,0.9652753130512672
113,0.05,272.0,Matern,1.0,1.5,-,-,0.0172850162424494,0.9881152131993922
114,0.05,272.0,RQ,1.0,-,1.0,-,0.0211513534079295,0.9832219676353962
115,0.05,272.0,ESS,1.0,-,-,1.0,1.0,-23.41200133986287
116,0.05,759.0,RBF,1.0,-,-,-,1.0,-19.426026316038996
117,0.05,759.0,Matern,1.0,1.5,-,-,0.0173232562544592,0.9893058890084636
118,0.05,759.0,RQ,1.0,-,1.0,-,0.0242211857088611,0.9831031300820512
119,0.05,759.0,ESS,1.0,-,-,1.0,0.9915697284746064,-19.145436897523982
120,0.05,390.0,RBF,1.0,-,-,-,0.0348461586642828,0.9396385068989972
121,0.05,390.0,Matern,1.0,1.5,-,-,0.019558811123742,0.9867016892351184
122,0.05,390.0,RQ,1.0,-,1.0,-,0.0253189314541366,0.985040063840312
123,0.05,390.0,ESS,1.0,-,-,1.0,1.0,-16.455748113542096
124,0.05,930.0,RBF,1.0,-,-,-,0.0295317083262825,0.9799181314662582
125,0.05,930.0,Matern,1.0,1.5,-,-,0.0138810944878439,0.9945329448783436
126,0.05,930.0,RQ,1.0,-,1.0,-,0.0233421497342858,0.9886903996268512
127,0.05,930.0,ESS,1.0,-,-,1.0,1.0,-16.66905690183183
128,0.05,633.0,RBF,1.0,-,-,-,1.0,-17.928850808726306
129,0.05,633.0,Matern,1.0,1.5,-,-,0.0210245419313373,0.9873318870274328
130,0.05,633.0,RQ,1.0,-,1.0,-,0.0288801314626444,0.9786654530158848
131,0.05,633.0,ESS,1.0,-,-,1.0,1.0,-17.928850808726306
132,0.05,928.0,RBF,1.0,-,-,-,0.0308018651538751,0.9772855526007592
133,0.05,928.0,Matern,1.0,1.5,-,-,0.0175669843312885,0.9913019871946503
134,0.05,928.0,RQ,1.0,-,1.0,-,0.0269544693028958,0.9833321146437484
135,0.05,928.0,ESS,1.0,-,-,1.0,1.0,-15.060455974945164
136,0.05,854.0,RBF,1.0,-,-,-,0.0307076959805667,0.955949131421604
137,0.05,854.0,Matern,1.0,1.5,-,-,0.0197462360862169,0.9882786156662636
138,0.05,854.0,RQ,1.0,-,1.0,-,0.0271061224553301,0.9837357770363984
139,0.05,854.0,ESS,1.0,-,-,1.0,0.0307076362797087,0.9559493246990972
140,0.05,554.0,RBF,1.0,-,-,-,1.0,-15.835679537307982
141,0.05,554.0,Matern,1.0,1.5,-,-,0.0169622658849923,0.9933105163516042
142,0.05,554.0,RQ,1.0,-,1.0,-,0.0280699380136446,0.983823547096608
143,0.05,554.0,ESS,1.0,-,-,1.0,0.0264715641392212,0.9823190224358324
144,0.05,562.0,RBF,1.0,-,-,-,1.0,-18.230709758702822
145,0.05,562.0,Matern,1.0,1.5,-,-,0.0190117279251528,0.987131430085962
146,0.05,562.0,RQ,1.0,-,1.0,-,0.0252989603652905,0.980496348600184
147,0.05,562.0,ESS,1.0,-,-,1.0,0.0328729635024964,0.9652107203324328
148,0.05,78.0,RBF,1.0,-,-,-,1.0,-15.574483384731405
149,0.05,78.0,Matern,1.0,1.5,-,-,0.0166468766627074,0.9841752995724
150,0.05,78.0,RQ,1.0,-,1.0,-,0.0244775708578792,0.980113758603832
151,0.05,78.0,ESS,1.0,-,-,1.0,1.0,-15.574483384731405
152,0.05,222.0,RBF,1.0,-,-,-,1.0,-20.32088371157512
153,0.05,222.0,Matern,1.0,1.5,-,-,0.0149103203908842,0.992437913309456
154,0.05,222.0,RQ,1.0,-,1.0,-,0.019830893793673,0.9870577703290128
