,Dens1SimMAPE,Dens2SimMAPE,RCE1MAPE,RCE2MAPE,SigC800,SigBr730,EpsC800,EpsBr730,Dens1PredMAPE,Dens1Pred,Dens2PredMAPE,Dens2Pred,Dens1Sim,Dens1SimErr,Dens2Sim,Dens2SimErr,RCE1,RCE2,RCE3,RCE4,RCE5,RCE6,RCE7,RCE8,RCE9,RCE21,RCE22,RCE23,#
38,None,0.3321414382201084,None,100.676921398036,0.0786744833747904,0.4721249351078119,0.4734000212401026,2.454051294638397,None,None,12.04771421521156,1410.1204833984375,1229.64,1.0,1254.32,1.4,None,None,None,None,None,None,None,None,None,0.0,-0.6880975143403487,0.0,minMAPE-18
39,None,0.3694874851013183,None,100.91318575879558,0.1852228796549604,0.471030966611677,0.449710436168117,2.434283275551842,None,None,12.219669916443186,1412.2845458984375,1234.39,0.81,1253.85,1.1,None,None,None,None,None,None,None,None,None,0.0,-0.6928776290630977,0.0,minMAPE-19
1,None,0.29797377830750893,None,100.96043863094744,0.2502477060323942,0.4734201945094464,0.7674665125752892,2.525484637867714,None,None,11.89320821538538,1408.176025390625,1232.47,1.1,1254.75,2.2,None,None,None,None,None,None,None,None,None,0.0,-0.6938336520076461,0.0,maxR2-1
29,None,0.4632499006754015,None,100.96043863094776,0.1722094427788848,0.4738850984153626,0.3936582115752577,2.4368758027494697,None,None,10.34243511310588,1388.6595458984375,1232.32,0.76,1252.67,1.6,None,None,None,None,None,None,None,None,None,0.0,-0.6938336520076529,0.0,minMAPE-9
13,None,0.06356773937226497,None,101.0785708113272,0.1480552754552168,0.4715993744813,0.5746517453772387,2.381667563115065,None,None,11.05477867687227,1397.6243896484375,1231.82,1.5,1257.7,1.7,None,None,None,None,None,None,None,None,None,0.0,-0.6962237093690207,0.0,maxR2-13
9,None,0.3567739372268581,None,101.17307655563124,0.0616282862612208,0.4753293755944271,0.5397317000761771,2.4619821680595257,None,None,11.550683865340684,1403.8653564453125,1229.15,1.3,1254.01,0.97,None,None,None,None,None,None,None,None,None,0.0,-0.6981357552581243,0.0,maxR2-9
6,None,0.27651966626936975,None,101.24395586385916,0.1154909900833749,0.4730557813183476,0.4797507715879637,2.3907966691389646,None,None,10.897236681192888,1395.6417236328125,1232.48,1.1,1255.02,2.3,None,None,None,None,None,None,None,None,None,0.0,-0.6995697896749504,0.0,maxR2-6
11,None,0.41954707985697043,None,101.32664839012516,0.1817184178047352,0.478815997743124,0.5221663960205128,2.46518120703434,None,None,11.71318239099126,1405.910400390625,1228.38,1.7,1253.22,0.71,None,None,None,None,None,None,None,None,None,0.0,-0.7012428298279152,0.0,maxR2-11
2,None,0.01827572506952866,None,101.46840700658102,0.2449689581061896,0.4690071766682365,0.3452738132675343,3.4880190464138647,None,None,13.494574782106676,1428.3292236328125,1232.38,1.6,1258.73,1.0,None,None,None,None,None,None,None,None,None,0.0,-0.7041108986615674,0.0,maxR2-2
32,None,0.2971791815653563,None,101.48022022461906,0.1370142972944046,0.4721813543040652,0.4597655192568543,2.420266936029737,None,None,10.775893843737585,1394.1146240234375,1229.74,1.5,1254.76,1.0,None,None,None,None,None,None,None,None,None,0.0,-0.7043499043977062,0.0,minMAPE-12
