,Dens1SimMAPE,Dens2SimMAPE,RCE1MAPE,RCE2MAPE,SigC800,SigBr730,EpsC800,EpsBr730,Dens1PredMAPE,Dens1Pred,Dens2PredMAPE,Dens2Pred,Dens1Sim,Dens1SimErr,Dens2Sim,Dens2SimErr,RCE1,RCE2,RCE3,RCE4,RCE5,RCE6,RCE7,RCE8,RCE9,RCE21,RCE22,RCE23,#
38,4.779746041699327,1.1426301152165363,330.4482736655639,79.40661915145726,0.2535649200035906,0.5004059949203457,0.5071020082041054,2.442875447559904,0.4136823004438427,1281.0777587890625,12.64515552058502,1417.6392822265625,1214.82,1.2,1244.12,1.2,2.0124282982791626,0.0967973231357555,-2.506453154875716,0.0,-1.1646749521988504,-1.1814053537284854,-3.537284894837472,1.981596558317399,-2.5348948374760982,0.0,0.7402007648183576,-1.0011950286806863,minMAPE-18
0,4.94826775356638,1.353198251887165,331.2251564343073,80.27101378275493,0.2445403434107726,0.5038895914880019,0.5068330136426908,2.4419249921696835,0.1348571729503092,1277.5205078125,10.291928945669447,1388.02392578125,1212.67,1.2,1241.47,1.3,1.9897227533460844,0.0580783938814519,-2.568833652007646,0.0,-1.1706500956022934,-1.1324091778202676,-3.621892925430209,2.037523900573615,-2.579110898661567,0.0,0.7533460803059242,-1.0062141491395813,maxR2-0
9,4.787584260855928,1.2951926897099686,331.56092593117614,80.24038382510922,0.2438242380907067,0.5023963454241951,0.5107647463003575,2.444556914238916,0.1646140840551062,1277.900146484375,9.97114154996027,1383.98681640625,1214.72,1.5,1242.2,1.6,2.0253346080305903,0.09918738049713,-2.5293977055449326,0.0,-1.1730401529636747,-1.1837954110898667,-3.5592734225621405,2.0155353728489467,-2.536089866156792,0.0,0.764101338432123,-0.993068833652008,maxR2-9
2,4.4873804671578625,1.0615812475168773,332.5887775305437,77.1847662156084,0.2683949397553242,0.4962710388559038,0.5171317617176521,2.445602783994444,0.0598716705939446,1276.5638427734375,11.115624689610648,1398.39013671875,1218.55,0.67,1245.14,1.1,1.9529158699808844,0.0678776290631023,-2.459130019120456,0.0,-1.2213193116634764,-1.195745697896746,-3.502629063097508,1.9574569789675011,-2.458413001912039,0.0,0.744263862332697,-0.9445506692160608,maxR2-2
1,5.0736792600721135,1.346841477949944,332.7002375727427,80.40487121840064,0.2415452890673212,0.5042762935319289,0.500402503091731,2.431679934279573,0.2581522071935292,1279.093505859375,10.574606348703815,1391.5814208984375,1211.07,1.1,1241.55,1.7,2.088671128107076,0.0353728489483738,-2.557122370936898,0.0,-1.1818833652007632,-1.1618068833651982,-3.611854684512427,2.023183556405354,-2.5740917782026798,0.0,0.7043499043977062,-1.065965583173998,maxR2-1
5,4.841667973036525,1.3738577671831516,334.3126945949541,78.71479733403811,0.2505240150656783,0.5029746768259984,0.5076236066099428,2.4405799042652,0.461484720983896,1281.6876220703125,10.557874422675804,1391.370849609375,1214.03,0.71,1241.21,1.9,2.106596558317398,0.0707456978967476,-2.574808795411089,0.0,-1.1919216061185456,-1.1909655831739971,-3.5944072657743757,2.0062141491395806,-2.5616634799235154,0.0,0.7729445506692182,-0.947179732313574,maxR2-5
20,4.615143439410557,1.0655542312276585,334.41950805348745,78.96395340140879,0.2556208902219235,0.5022689625724711,0.5099400460442666,2.446474332543669,0.2830293676026842,1279.410888671875,9.120005447333137,1373.2752685546875,1216.92,1.9,1245.09,0.92,2.005497131931171,0.0353728489483738,-2.557361376673037,0.0,-1.1692160611854674,-1.1995697896749535,-3.5989483747609925,1.9746653919694075,-2.5812619502868026,0.0,0.761233269598464,-0.9665391969407292,minMAPE-0
13,5.230443643204265,1.581247516885188,334.5379201851554,81.4554605084071,0.2493929601758192,0.5085190109997173,0.4959268602926333,2.434926164631936,0.0004554433982563,1275.794189453125,9.974837123187326,1384.0333251953125,1209.07,1.9,1238.6,1.6,2.048279158699807,0.0800669216061136,-2.646510516252392,0.0,-1.156070745697901,-1.1644359464627183,-3.6661089866156784,1.9899617590822165,-2.640535372848949,0.0,0.6947896749522013,-1.101577437858504,maxR2-13
17,4.820504781313685,1.2729439809296768,334.7454734431369,81.71844278958514,0.2476475000715813,0.5046629377205352,0.5151284537105748,2.4446455369137694,0.0659378704783309,1276.6412353515625,9.898054557136472,1383.0670166015625,1214.3,0.59,1242.48,0.91,2.0141013384321207,0.0994263862332688,-2.5905831739961758,0.0,-1.1553537284894844,-1.2072179732313546,-3.6321701720841295,2.0549713193116665,-2.599904397705548,0.0,0.7404397705544964,-1.0549713193116603,maxR2-17
16,5.194387835083868,1.526420341676602,335.28460045351613,83.19626394757326,0.243613478381777,0.5074760256034211,0.5115404619606402,2.446998483543755,0.1894051312166911,1278.2164306640625,10.455251943037345,1390.079345703125,1209.53,1.3,1239.29,1.1,2.040630975143406,0.0138623326959897,-2.619980879541106,0.0,-1.1823613766730408,-1.153202676864242,-3.6618068833652,1.9574569789674947,-2.6300191204588885,0.0,0.7136711281070789,-1.1204588910133817,maxR2-16
8,4.856560589434084,1.292014302741358,335.4408465765073,81.48682401471653,0.2582862019997312,0.5021736463765384,0.5089302867432772,2.441643329227541,0.5354655687852755,1282.6314697265625,10.026429653357171,1384.6826171875,1213.84,0.99,1242.24,0.86,1.9708413001912068,0.0215105162523908,-2.5413479923518185,0.0,-1.1998087954110923,-1.2043499043977024,-3.573613766730401,2.0054971319311643,-2.56333652007648,0.0,0.765535372848949,-1.020554493307842,maxR2-8
12,4.975701520614518,1.2912197059992052,336.10164696346965,80.79298920152839,0.2555752809980189,0.5031283033359707,0.5111584102571535,2.4417840309034844,0.1951364462494157,1278.28955078125,10.155600122293404,1386.3082275390625,1212.32,1.5,1242.25,1.1,2.004541108986616,0.0375239005736095,-2.5917782026768625,0.0,-1.2084130019120487,-1.1823613766730408,-3.612810707456982,2.012906309751433,-2.580783938814532,0.0,0.741156787762906,-1.0325047801147278,maxR2-12
4,4.991377958927737,1.5073500198649206,337.015818948503,81.57573294717793,0.2628837342974492,0.5070790874860948,0.5101423576700779,2.4393654771306355,0.0145110390294289,1275.6148681640625,9.321583932384785,1375.8121337890625,1212.12,0.83,1239.53,0.29,2.097036328871893,0.0066921606118594,-2.6132887189292537,0.0,-1.1816443594646244,-1.197418738049711,-3.6618068833652,2.0016730401529634,-2.6211759082217934,0.0,0.7251434034416874,-1.069311663479921,maxR2-4
19,4.902806082458063,1.2538736591179953,337.059826044559,79.1627651122859,0.2516549002876246,0.5042091989415964,0.5078189204081646,2.441719782565736,0.5145304814871098,1282.3643798828125,10.098391484778508,1385.5882568359375,1213.25,0.98,1242.72,2.1,2.008843212237094,0.0155353728489478,-2.574808795411089,0.0,-1.2100860420650137,-1.1883365200764835,-3.626912045889104,2.007170172084129,-2.6104206500956013,0.0,0.7081739961759067,-1.0325047801147278,maxR2-19
18,5.194387835083868,1.3786253476360675,337.57853745495584,80.85783293289325,0.2456507623961084,0.505910154305538,0.4958765052208944,2.438456221927191,0.150214035433653,1277.7164306640625,9.708047775129122,1380.67578125,1209.53,1.6,1241.15,1.0,2.014818355640537,0.054732313575529,-2.62260994263862,0.0,-1.1878585086042062,-1.1976577437858498,-3.66586998087954,2.0174474187380502,-2.614244741873802,0.0,0.7048279158699838,-1.0760038240917738,maxR2-18
10,4.738987302084969,1.4747715534366266,338.7092301780722,79.96749077779613,0.2463052018101106,0.504922156870766,0.5094421879381463,2.4425425660708187,0.1133575654736279,1277.2462158203125,10.205388514352403,1386.934814453125,1215.34,1.1,1239.94,0.94,1.99187380497132,0.0858030592734178,-2.61400573613767,0.0,-1.211042065009562,-1.2117590822179716,-3.650812619502869,2.0384799235181634,-2.5860420650095586,0.0,0.7430688336520097,-1.0109942638623302,maxR2-10
