,ratio,rndint,degree,mape,r2
1669,0.2,669.0,10.0,0.02609596040367885,0.8875878645527499
1670,0.2,530.0,1.0,0.14321251609911553,0.5873019246410768
1671,0.2,530.0,2.0,0.06539566615386543,0.919030983238098
1672,0.2,530.0,3.0,0.031729683008020364,0.9795159993103476
1673,0.2,530.0,4.0,0.024243449102650045,0.9877919320603231
1674,0.2,530.0,5.0,0.016027410568106294,0.9941481505058649
1675,0.2,530.0,6.0,0.011912757876147631,0.9962997039117478
1676,0.2,530.0,7.0,0.011302652265582351,0.996327542696342
1677,0.2,530.0,8.0,0.012793404934444755,0.9939026018106276
1678,0.2,530.0,9.0,0.017023025542016408,0.9894523782271339
1679,0.2,530.0,10.0,0.030948556495775027,0.9118123772681753
1680,0.2,999.0,1.0,0.14721960439694518,0.597849449441467
1681,0.2,999.0,2.0,0.06733948536958485,0.9177627410549808
1682,0.2,999.0,3.0,0.03528047571886071,0.9762681014891691
1683,0.2,999.0,4.0,0.024130719129090115,0.9883615553663077
1684,0.2,999.0,5.0,0.01642345262992914,0.9935511960454284
1685,0.2,999.0,6.0,0.013043392533971495,0.9954326301167608
1686,0.2,999.0,7.0,0.011825687328533887,0.9960667008978441
1687,0.2,999.0,8.0,0.01330719416842636,0.9950312517811157
1688,0.2,999.0,9.0,0.01538910412391464,0.9910106529459238
1689,0.2,999.0,10.0,0.027095902116868804,0.9612698258958697
1690,0.2,794.0,1.0,0.1427808510598139,0.6006309314182701
1691,0.2,794.0,2.0,0.06852688155517371,0.908810288142876
1692,0.2,794.0,3.0,0.03230823950348239,0.9747287933841462
1693,0.2,794.0,4.0,0.0233668210704103,0.9855502142936828
1694,0.2,794.0,5.0,0.016607789073064136,0.9921112875385921
1695,0.2,794.0,6.0,0.013454433729934535,0.9946022932032398
1696,0.2,794.0,7.0,0.013069274135172077,0.9946498070014917
1697,0.2,794.0,8.0,0.013096339953507025,0.9942608635695277
1698,0.2,794.0,9.0,0.01598588252338687,0.9901701236944792
1699,0.2,794.0,10.0,0.03926173242234683,0.8782237503827721
1700,0.2,936.0,1.0,0.1391556077397706,0.597457459334892
1701,0.2,936.0,2.0,0.06645055368880214,0.9088914235554694
1702,0.2,936.0,3.0,0.03288978739682336,0.9765917988861692
1703,0.2,936.0,4.0,0.021705631567722487,0.98930891597175
1704,0.2,936.0,5.0,0.015017735867507804,0.9941728350230915
1705,0.2,936.0,6.0,0.011621082381701123,0.9960829904347581
1706,0.2,936.0,7.0,0.010721017502321937,0.9964685235038121
1707,0.2,936.0,8.0,0.013179157621467305,0.9927346210953758
1708,0.2,936.0,9.0,0.017643276451166864,0.9753139452121102
1709,0.2,936.0,10.0,0.03805712213691232,0.9059052606402325
1710,0.2,111.0,1.0,0.1500596252936307,0.5936095695712547
1711,0.2,111.0,2.0,0.06613633359739984,0.9152980825592381
1712,0.2,111.0,3.0,0.030997826254333016,0.9793000107374017
1713,0.2,111.0,4.0,0.022005122627012336,0.9881907987798565
1714,0.2,111.0,5.0,0.016046831566412508,0.9935358385202386
1715,0.2,111.0,6.0,0.012640017890828461,0.9961073922094039
1716,0.2,111.0,7.0,0.010837828601431194,0.9967450656179787
1717,0.2,111.0,8.0,0.012194098533306275,0.9945272642854084
1718,0.2,111.0,9.0,0.01721354061230371,0.9704035261443983
1719,0.2,111.0,10.0,0.028614295372728825,0.9653817361292856
1720,0.2,816.0,1.0,0.1446611177266993,0.576358259432284
1721,0.2,816.0,2.0,0.06635262926795858,0.9102235455346883
1722,0.2,816.0,3.0,0.03359798447171893,0.977356259873031
1723,0.2,816.0,4.0,0.023669391465242752,0.9877556878415656
1724,0.2,816.0,5.0,0.014627882476919521,0.9948364996793909
1725,0.2,816.0,6.0,0.012691698110394948,0.9957842800352624
1726,0.2,816.0,7.0,0.011218243781076553,0.9962682465131416
1727,0.2,816.0,8.0,0.013134753546414107,0.9948760198969381
1728,0.2,816.0,9.0,0.017364620413854552,0.9821017468290869
1729,0.2,816.0,10.0,0.028788525988810786,0.9359483471491892
1730,0.2,968.0,1.0,0.15340562432490493,0.5944025258653067
1731,0.2,968.0,2.0,0.072239183369238,0.9122218363489197
1732,0.2,968.0,3.0,0.03425540162578424,0.9793334522047139
1733,0.2,968.0,4.0,0.022865195702291223,0.9900872557068973
1734,0.2,968.0,5.0,0.015670572311141287,0.9948814768826171
1735,0.2,968.0,6.0,0.012944985729763754,0.995801215928349
1736,0.2,968.0,7.0,0.011754206311866433,0.9962399584211716
1737,0.2,968.0,8.0,0.01337102318991578,0.9936707218113776
1738,0.2,968.0,9.0,0.02046690858347395,0.9767483112332446
1739,0.2,968.0,10.0,0.0412555707721169,0.8560807931513927
1740,0.2,48.0,1.0,0.13616628999423072,0.6188976259117107
1741,0.2,48.0,2.0,0.060791629215918144,0.9240898436576392
1742,0.2,48.0,3.0,0.030214370666599516,0.9768576949563265
1743,0.2,48.0,4.0,0.022015694692318146,0.9869252901556208
1744,0.2,48.0,5.0,0.0160898711336558,0.9924619070036976
1745,0.2,48.0,6.0,0.012500457113596762,0.9952640828348611
1746,0.2,48.0,7.0,0.011135789259485955,0.9958186475367585
1747,0.2,48.0,8.0,0.012359988741132845,0.9948312761242182
1748,0.2,48.0,9.0,0.0179548934700674,0.9856942825585419
1749,0.2,48.0,10.0,0.03359464965139814,0.9258962866301123
1750,0.2,986.0,1.0,0.1491341662823349,0.6048505444331971
1751,0.2,986.0,2.0,0.06756542709361749,0.9156786842253106
1752,0.2,986.0,3.0,0.036252599108648365,0.9766996313488187
1753,0.2,986.0,4.0,0.025041157627326827,0.988642586821941
1754,0.2,986.0,5.0,0.017336511110711744,0.9937264968841613
1755,0.2,986.0,6.0,0.013946615651485287,0.9953457840696495
1756,0.2,986.0,7.0,0.011891511172393801,0.9963115316779874
1757,0.2,986.0,8.0,0.014000771885729894,0.9934228412918732
