,ratio,rndint,mape,r2
100,0.15,678.0,0.14824154653130753,0.5293375076483238
101,0.15,147.0,0.14160279391443237,0.5977826749510227
102,0.15,561.0,0.15587028270391537,0.5572344347310945
103,0.15,237.0,0.15424671230653614,0.5677637819865803
104,0.15,588.0,0.1518341057871826,0.5827391899859524
105,0.15,951.0,0.1350942152928882,0.6717286753660368
106,0.15,490.0,0.15808737142471602,0.5530216123780984
107,0.15,395.0,0.1387270164791431,0.6163485382976028
108,0.15,877.0,0.16871001935416202,0.585551976211275
109,0.15,297.0,0.1432654598679681,0.614086049233469
110,0.15,721.0,0.14021802413245682,0.5525228003254299
111,0.15,711.0,0.1334192704722053,0.6173051747444751
112,0.15,985.0,0.13417963038420314,0.6282081916551411
113,0.15,171.0,0.16147028235275956,0.5553024478434088
114,0.15,75.0,0.15393344289197658,0.5870893016038926
115,0.15,16.0,0.14937363751688834,0.6034418550780368
116,0.15,669.0,0.1360343690359984,0.6125699430546497
117,0.15,530.0,0.14286957141323775,0.5956893006513236
118,0.15,999.0,0.14386474020363968,0.5971212496360933
119,0.15,794.0,0.14562105945735218,0.5895641556982769
120,0.15,936.0,0.14169807991965128,0.6149114137499418
121,0.15,111.0,0.14620170610195368,0.5892442778468556
122,0.15,816.0,0.15560507106247556,0.544868696280588
123,0.15,968.0,0.15783405874811013,0.5753779710791151
124,0.15,48.0,0.12951251672858416,0.640295628701857
125,0.15,986.0,0.15465749022026623,0.5770785411430732
126,0.15,829.0,0.14368716182795888,0.5768989897990566
127,0.15,996.0,0.15408377431616666,0.5634584923658756
128,0.15,272.0,0.14269826165181987,0.5651831824416871
129,0.15,759.0,0.14881036690607707,0.5610092376648312
130,0.15,390.0,0.1716335008223724,0.5015281890694216
131,0.15,930.0,0.15054873026565127,0.5680274255232237
132,0.15,633.0,0.14970220862693456,0.49571090729147216
133,0.15,928.0,0.1590557679286444,0.5678298548156638
134,0.15,854.0,0.15175659643409523,0.5619425099832813
135,0.15,554.0,0.13766396938419073,0.5796985309038309
136,0.15,562.0,0.1453813437302748,0.5781247389700642
137,0.15,78.0,0.14578647847420212,0.6091613288644946
138,0.15,222.0,0.15594448283812964,0.5509132112574717
139,0.15,294.0,0.15703283023567718,0.5454088574304643
140,0.15,725.0,0.15116163646275727,0.5989412287614524
141,0.15,582.0,0.15666762454836766,0.5044611608635143
142,0.15,731.0,0.14315903985669048,0.6004371357561826
143,0.15,249.0,0.14846675553124083,0.6300698840948633
144,0.15,791.0,0.15612195659844938,0.5219063514293811
145,0.15,35.0,0.14668327043738116,0.5919323753641452
146,0.15,180.0,0.14785304086385856,0.5647193190605783
