,ratio,rndint,degree,mape,r2
33,0.05,237.0,4.0,0.02409365023195093,0.9876648789691029
34,0.05,237.0,5.0,0.013553510807058886,0.9961593014263141
35,0.05,237.0,6.0,0.009657667268060988,0.9979081857337784
36,0.05,237.0,7.0,0.007484233190724248,0.9983151504918477
37,0.05,237.0,8.0,0.007006639359662417,0.9980480116551929
38,0.05,237.0,9.0,0.009285007804599312,0.9967195816901646
39,0.05,237.0,10.0,0.01564465396964488,0.9844781978462143
40,0.05,588.0,1.0,0.1526672151959368,0.6377318940855106
41,0.05,588.0,2.0,0.07434606879756492,0.90601548061255
42,0.05,588.0,3.0,0.03576060481024011,0.978571651315473
43,0.05,588.0,4.0,0.02461972849763198,0.9879767014079467
44,0.05,588.0,5.0,0.014760494069859523,0.9956360540401658
45,0.05,588.0,6.0,0.01040687285390713,0.9979201850830715
46,0.05,588.0,7.0,0.009374191210403764,0.997357379503407
47,0.05,588.0,8.0,0.007499749541325078,0.9988433720258374
48,0.05,588.0,9.0,0.008739283312039088,0.9980578045122673
49,0.05,588.0,10.0,0.016776423193494813,0.9878553266949934
50,0.05,951.0,1.0,0.1382957705273736,0.6428199692880421
51,0.05,951.0,2.0,0.07314212924023204,0.9038063516055101
52,0.05,951.0,3.0,0.034904226505137755,0.9773963067280046
53,0.05,951.0,4.0,0.02249390927709848,0.9895053429731943
54,0.05,951.0,5.0,0.01627393889091578,0.9947793535116369
55,0.05,951.0,6.0,0.009910985653823928,0.9979979629573028
56,0.05,951.0,7.0,0.006582320769489433,0.9990137175620823
57,0.05,951.0,8.0,0.0063116228799931055,0.9990818163615424
58,0.05,951.0,9.0,0.007976207508354986,0.99716395145792
59,0.05,951.0,10.0,0.015531697016935795,0.991906554715474
60,0.05,490.0,1.0,0.15154942708930266,0.5221793067628993
61,0.05,490.0,2.0,0.07055341249356394,0.8937270544067372
62,0.05,490.0,3.0,0.038921623006157584,0.9689716401487981
63,0.05,490.0,4.0,0.02603593257611648,0.9855344383834219
64,0.05,490.0,5.0,0.016913646596925565,0.9928335710362421
65,0.05,490.0,6.0,0.011217142621904663,0.9968194391645326
66,0.05,490.0,7.0,0.010557635637699592,0.997038846838363
67,0.05,490.0,8.0,0.010528580771652436,0.9966039310065481
68,0.05,490.0,9.0,0.011808192037567704,0.9949898162198602
69,0.05,490.0,10.0,0.01567014570153964,0.9913322268718486
70,0.05,395.0,1.0,0.14555916762992344,0.5240111862080992
71,0.05,395.0,2.0,0.0651328734880021,0.9034407485812512
72,0.05,395.0,3.0,0.033131054141803555,0.9768634619663927
73,0.05,395.0,4.0,0.019143115488158585,0.9909280792674651
74,0.05,395.0,5.0,0.012256859057692375,0.9964761670837521
75,0.05,395.0,6.0,0.008913260077654297,0.9981463415924046
76,0.05,395.0,7.0,0.007029663776010594,0.9983699196017676
77,0.05,395.0,8.0,0.005952642816048716,0.9986185346642642
78,0.05,395.0,9.0,0.007732347140544071,0.9970443982772674
79,0.05,395.0,10.0,0.011651482928514624,0.9908759092763758
80,0.05,877.0,1.0,0.14362569113632367,0.5942259013195752
81,0.05,877.0,2.0,0.07452081014871874,0.8870155312153412
82,0.05,877.0,3.0,0.03981837934970613,0.9641452828973357
83,0.05,877.0,4.0,0.0254951160034697,0.9861058955232876
84,0.05,877.0,5.0,0.013539103537564256,0.9950650898680874
85,0.05,877.0,6.0,0.020641638145779885,0.98923311208184
86,0.05,877.0,7.0,0.014721468066144118,0.9939154778221332
87,0.05,877.0,8.0,0.010612382651497183,0.9960951065400897
88,0.05,877.0,9.0,0.012301485005344037,0.9945248268138556
89,0.05,877.0,10.0,0.01881523866289674,0.9900130066302609
90,0.05,297.0,1.0,0.1609954298632131,0.5302158932235697
91,0.05,297.0,2.0,0.07793476504250856,0.8797728150759193
92,0.05,297.0,3.0,0.03570792710487863,0.9750271398494286
93,0.05,297.0,4.0,0.03485599275426542,0.9728560504715371
94,0.05,297.0,5.0,0.0161965117355625,0.9941478549760017
95,0.05,297.0,6.0,0.011481888910842673,0.9967476634216061
96,0.05,297.0,7.0,0.01091733766650197,0.9970696311798878
97,0.05,297.0,8.0,0.009613902636051226,0.9977191075611268
98,0.05,297.0,9.0,0.012656643477885074,0.9954362828114077
99,0.05,297.0,10.0,0.01703079964375313,0.9904309353530769
100,0.05,721.0,1.0,0.18868188996734533,0.49526152958000424
101,0.05,721.0,2.0,0.08124910491433908,0.8953772776935105
102,0.05,721.0,3.0,0.041715266950395846,0.972674080338332
103,0.05,721.0,4.0,0.0252011217193256,0.9890736668284232
104,0.05,721.0,5.0,0.018918787322279015,0.993573471457055
105,0.05,721.0,6.0,0.014052252381450418,0.9959828133921288
106,0.05,721.0,7.0,0.01058017951332079,0.9977573553081687
107,0.05,721.0,8.0,0.010758539746296576,0.9977122020076998
108,0.05,721.0,9.0,0.0145238793682285,0.9944787902920106
109,0.05,721.0,10.0,0.022447646299684716,0.9847017071259611
110,0.05,711.0,1.0,0.15148109510124985,0.49322687036436885
111,0.05,711.0,2.0,0.07372466589342032,0.8865449743355371
112,0.05,711.0,3.0,0.0351698506650493,0.9715796058528019
113,0.05,711.0,4.0,0.023280290959857022,0.9875888907709562
114,0.05,711.0,5.0,0.013570857152122615,0.9953418919632286
115,0.05,711.0,6.0,0.010565918885546388,0.9966696021421494
